CODUL DE CLASIFICARE|DENUMIREA ACTIVELOR FIXE|DURATE NORMALE  DE FUNCȚIONARE  - ANI -
2.1.13.2.|Mașini, utilaje și instalații pentru tăbăcării, în afară de:|8-14
2.1.13.2.1.|- bazine de înmuiat, cenușărit, pretăbăcit, tăbăcit și decolorat.|16-24
2.1.13.2.2.|- haspele de înmuiat, cenușărit, decalcifiat, semăluire, pielat, tăbăcit și argăsit și butoaie de înmuiat, cenușărit,  decalcifiat, semăluire, pielat, tăbăcit, vopsit, retanat, uns, vălcuit, etc; agregate elicoidale de cenușărit și tăbăcit.|12-18
2.1.13.3.|Alte mașini, utilaje și instalații neregăsite în cadrul clasei 2.1.13.|9-15
2.1.14.|Mașini, utilaje și instalații pentru industria alimentară|
2.1.14.1.|Mașini, utilaje și instalații pentru abatoare și producerea preparatelor din carne.|8-14
2.1.14.2.|Mașini, utilaje și instalații pentru lapte și produse lactate.|8-12
2.1.14.3.|Mașini, utilaje și instalații pentru producerea uleiurilor vegetale și a margarinei; panificație și producerea pastelor făinoase și a biscuiților. Mașini, utilaje și instalații pentru producerea spirtului, amidonului, glucozei, dextrinei și drojdiei comprimate. Mașini și instalații pentru producerea țuicii, rachiurilor naturale, altor băuturi distilate și gazoase, esențelor și oțetului.|9-15
2.1.14.4.|Mașini, utilaje și instalații pentru ambalarea produselor alimentare. Mașini, utilaje și instalații pentru producerea conservelor de legume și finețe. Mașini, utilaje și instalații comune pentru industria alimentară.|8-12
2.1.14.5.|Mașini, utilaje și instalații pentru morărit.|13-21
2.1.14.6.|Mașini, utilaje și instalații pentru producerea zahărului.|14-22
2.1.14.7.|Mașini, utilaje și instalații pentru producerea produselor zaharoase. Mașini, utilaje și instalații pentru producerea vinului. Mașini, utilaje și instalații pentru producerea berii. Mașini, utilaje și instalații pentru prelucrarea tutunului și a produselor din tutun.|12-18
2.1.14.8.|Inventar gospodăresc din industria alimentară.|6-10
2.1.14.9.|Alte mașini, utilaje și instalații neregăsite în cadrul clasei 2.1.14.|9-15
2.1.15.|Mașini, utilaje și instalații pentru industria poligrafică|8-14
2.1.16.|Mașini de forță și utilaje energetice|
2.1.16.1.|Mașini generatoare, în afară de:|22-34
2.1.16.1.1.|- instalații de preparare a prafului de cărbune, instalații de tratare a apei de alimentare, instalații de captare și evacuare a zgurei și cenușii;|16-24
2.1.16.1.2.|- generatoare de energie electrică|
2.1.16.1.2.1.|- generatoare de curent continuu, de curent alternativ; generatoare de frecvență|12-18
2.1.16.1.2.2.|- grupuri electrogene staționare|9-15
2.1.16.1.2.3.|- grupuri electrogene mobile, grupuri de sudură mobile|6-10
2.1.16.2.|Mașini motrice|
2.1.16.2.1.|- motoare electrice de curent continuu și de curent alternativ;|12-18
2.1.16.2.2.|- turbine cu abur, turbine cu gaze;|12-22
2.1.16.2.3.|- turbine hidraulice;|12-22
2.1.16.2.4.|- motoare cu ardere internă, cu piston, stabile;|6-10
2.1.16.2.5.|- motoare eoliene|16-24
2.1.16.3.|Transformatoare, redresoare, convertizoare, acumulatoare și compensatoare.|
2.1.16.3.1.|- transformatoare și autotransformatoare, în afară de:|16-24
2.1.16.3.1.1.|- transformatoare și autotransformatoare de sudură.|8-12
2.1.16.3.1.2.|- aparate de sudură electrică portabile.|4-6
2.1.16.3.2.|- instalații de redresare; - instalații de convertizoare, în afară de:|12-18
2.1.16.3.2.1.|- roboți de pornire mobili|4-8
2.1.16.3.3.|- baterii de acumulatoare; instalații de compensare a puterii reactive;|8-12
2.1.16.3.4.|- baterii de acumulatoare pentru telecomunicații,|5-9
2.1.16.4.|Compresoare și pompe de vid|
2.1.16.4.1.|- compresoare cu piston, stabile.|8-12
2.1.16.4.2.|- compresoare cu piston, mobile.|4-8
2.1.16.4.3.|- compresoare rotative, elicoidale, cu pistoane rotative, rotative cu inel de lichid și centrifuge, stabile.|9-15
2.1.16.4.4.|- compresoare rotative, elicoidale, cu pistoane rotative, rotative cu inel de lichid și centrifuge, mobile.|4-8
2.1.16.4.5.|- pompe de vid.|8-12
2.1.16.5.|Aparataje pentru stații electrice și posturi de transformare. Echipamente pentru centrale termice, electrice și nucleare.|8-30
2.1.16.6.|Alte mașini, utilaje și instalații neregăsite în cadrul clasei 12.1.16.|12-18
2.1.17.|Mașini, utilaje și instalații comune care funcționează independent|
2.1.17.1.|Pompe și aparate pentru vehicularea lichidelor|
2.1.17.1.1.|- pompe centrifuge, în afară de:|8-12
2.1.17.1.1.1.|- pentru lichide slab corozive;|5-9
2.1.17.1.1.2.|- pentru lichide cu acțiune corozivă sau abrazivă|4-6
2.1.17.1.1.3.|- pentru țiței.|3-5
2.1.17.1.2.|- pompe axiale; - pompe de injecție; - pompe cu roți dințate; - aparate și dispozitive pentru vehicularea lichidelor.|8-12
2.1.17.1.3.|- pompe cu piston:|
2.1.17.1.3.1.|- pentru lichide necorozive;|6-10
2.1.17.1.3.2.|- pentru lichide cu acțiune abrazivă și corozivă;|4-8
2.1.17.1.3.3.|- pentru extracția țițeiului.|2-4
2.1.17.1.4.|- pompe cu pistonașe, pompe cu membrană și pompe elicoidale, în afară de:|6-10
2.1.17.1.4.1.|- pompe de adâncime cu cavități progresive pentru extracția țițeiului.|2-4
2.1.17.2.|Mașini și utilaje comune pentru prelucrarea mecanică a pământurilor, minereurilor și a altor materii prime; Concasoare, delaioare și dezintegratoare; Ciururi și site; Alte mașini și utilaje (roți desecatoare, grătare de separare, clasoare); Mașini de echilibrat; Mori, în afară de:|6-10
2.1.17.2.1.|- morile din industria cimentului.|12-18
2.1.17.3.|Ventilatoare, aeroterme și microcentrale termice murale sau de pardoseli, în afară de:|6-10
2.1.17.3.1.|- aparate de climatizare.|4-6
2.1.17.4.|Mijloace de depozitare (rezervoare, tancuri, buncăre, butelii industriale, etc.) încadrate în fluxul tehnologic:|
|a) mediu neutru sau ușor coroziv;|16-24
|b) mediu puternic coroziv.|9-15
2.1.17.5.|Amestecătoare și omogenizatoare|
|a) mediu neutru sau ușor coroziv;|12-18
|b) mediu puternic coroziv;|8-12
2.1.17.6.|Mașini și instalații pentru industria frigului.|9-15
2.1.17.7.|Alte mașini, utilaje și instalații neregăsite în cadrul clasei 2.1.17.|8-12
2.1.18.|Utilaje specifice producției de electrozi din grafit.|12-18
2.1.19.|Unelte, dispozitive, instrumente și truse de scule specializate folosite în industrie.|2-4
2.1.20.|Mașini și utilaje pentru construcții|
2.1.20.1.|Mașini și utilaje pentru săparea și pregătirea terenului. Screpere, gredere, buldozere, buldoexcavatoare, săpătoare de șanțuri, săpătoare de gropi și scarificatoare. Excavatoare sub 150 kW, în afară de:|4-8
2.1.20.1.1.|- excavatoare de peste 150 kW.|6-10
2.1.20.2.|Mașini și utilaje pentru lucrări de fundații, lucrări în stâncă și pentru tuneluri; Instalații de forat la secțiune plină; Berbeci mecanici și extractoare de piloți; Utilaje pentru executarea lucrărilor sub apă și mașini de forat și turnat piloți, în afară de:|4-8
2.1.20.2.1.|- sonete.|6-10
2.1.20.2.2.|- ciocane pneumatice.|2-4
2.1.20.2.3.|- scuturi.|3-5
2.1.20.3.|Mașini, utilaje și instalații pentru prepararea, transportul  și punerea în operă a betonului și mortarului, în afară de:|6-10
2.1.20.3.1|- betoniere și malaxoare, autobetoniere, pompe și autopompe de beton;|4-8
2.1.20.3.2.|- centrale de beton;|6-10
2.1.20.3.3.|- vibratoare de interior și de exterior pentru compactarea betonului,|3-5
2.1.20.4.|Mașini, utilaje și instalații pentru lucrări de zidărie, tencuieli, finisaje, izolații și instalații, în afară de:|4-8
2.1.20.4.1|- unelte mecanice portabile (electrice, pneumatice, hidraulice);|2-4
2.1.20.5.|Mașini, utilaje și instalații pentru lucrări hidrotehnice, în afară de:|12-18
2.1.20.5.1.|- dragi;|12-18
2.1.20.5.2.|- greifere plutitoare;|9-15
2.1.20.5.3.|- elevatoare,|4-8
2.1.20.6.|Mașini, utilaje și instalații pentru construcții și reparații de drumuri, în afară de:|6-10
2.1.20.6.1.|- compactoare tractate și autopropulsate vibratoare și mixte, mașini de tăiat asfalt, plăci vibratoare și maiuri mecanice.|3-5
2.1.20.7.|Mașini, utilaje și instalații pentru construcții și reparații de căi ferate, în afară de:|6-10
2.1.20.7.1|- ciocane de burat prin vibrare;|3-5
2.1.20.7.2.|- mașini de burat;|5-9
2.1.20.7.3.|- utilaje pentru îndreptat și îndoit șine;|6-10
2.1.20.7.4.|- mașini pentru montarea și sudarea șinei;|6-10
2.1.20.7.5.|- mașini pentru pozarea căii, utilaje de măsurat și verificat cale și mașini de rectificat rosturi.|6-10
2.1.20.8.|Mașini pentru executarea armăturilor pentru beton.|4-8
2.1.20.9.|Mașini și utilaje pentru lucrări de conducte magistrale și linii de transport electrice.|4-8
2.1.20.10.|Unelte, dispozitive și instrumente folosite în construcții.|2-4
2.1.20.11.|Alte mașini, utilaje și instalații neregăsite în cadrul clasei 2.1.20.|6-10
2.1.21.|Mașini, utilaje și instalații pentru agricultură|
2.1.21.1.|Mașini și utilaje pentru lucrarea solului.|
2.1.21.1.1.|- tractoare agricole; - mașini pentru administrarea îngrășămintelor, aparate și dispozitive pentru tratarea culturilor (stropit, prăfuit).|4-8
2.1.21.1.2.|- utilaje și instalații pentru irigații; - mașini pentru recoltat, treierat, curățat, sortat și tratat semințe, adunat și balotat fân și paie; - mașini și echipamente pentru lucrarea și cultivarea pământului, în afară de:|8-12
2.1.21.1.2.1.|- grape, netezitoare și nivelatoare;|5-9
2.1.21.2.|Mașini, instalații și utilaje pentru zootehnie. Mașini, instalații și utilaje pentru prepararea hranei animalelor. Mașini, instalații și utilaje pentru adăpatul, distribuirea hranei animalelor și evacuarea gunoiului. Mașini, instalații și utilaje pentru recoltarea produselor animale. Mașini, instalații și utilaje pentru apicultura. Mașini, instalații și utilaje pentru incubații și pentru avicultura. Mașini, instalații și utilaje pentru dezinfecție veterinară.|8-12
2.1.21.3.|Mașini, instalații și utilaje pentru legumicultura, viticultură și pomicultură.|8-12
2.1.21.4.|Mașini, instalații și utilaje pentru producerea biogazului.|12-20
2.1.21.5.|Unelte, dispozitive și instrumente folosite în agricultură.|2-4
2.1.21.6.|Alte mașini, utilaje și instalații neregăsite în cadrul clasei 2.1.21.|6-10
2.1.22.|Mașini, utilaje și instalații pentru transporturi și telecomunicații|
2.1.22.1.|Mașini, utilaje și instalații pentru transport feroviar.|
2.1.22.1.1.|- mașini, utilaje și instalații pentru mentenanța liniilor, locomotivelor și vagoanelor;|8-12
2.1.22.1.2.|- instalații speciale pentru siguranța circulației și mărirea capacității de exploatare în stații, triaje și linii  curente CF (instalații pentru controlul poziției macazurilor  instalații de comandă centralizată a circulației, de semnalizare automată a liniilor); - instalații de telecomunicații pentru căi ferate.|16-24
2.1.22.1.3.|- mașini, utilaje și instalații folosite în sistemul comercial; - utilaje pentru impregnarea și ignifugarea lemnului.|11-17
2.1.22.2.|Mașini, utilaje și instalații pentru mentenanța mijloacelor de transport rutier.|9-15
2.1.22.3.|Mașini, utilaje și instalații pentru mentenanța navelor, întreținerea căilor navigabile și a lacurilor.|
2.1.22.3.1.|- bărci pentru scafandri, din metal;|8-14
2.1.22.3.2.|- pompe de aer pentru scafandri;|4-6
2.1.22.3.3.|- pontoane maritime și fluviale; - docuri plutitoare; docuri uscate;|20-30
2.1.22.3.4.|- mașini, utilaje și instalații pentru întreținerea căilor navigabile și a lacurilor; - instalații pentru întreținerea și repararea navelor.|16-24
2.1.22.3.5.|- uzine electrice plutitoare; nave pentru stins incendii; dormitoare plutitoare pe nave sau pe bacuri fluviale.|16-24
2.1.22.4.|Mașini, utilaje și instalații pentru exploatarea, mentenanța, protecția și servirea aeronavelor și a traficului aerian.|8-12
2.1.22.5.|Mașini, utilaj e și instalații pentru poștă, presă și telecomunicații (telefonie, telegrafie), în afară de:|9-15
2.1.22.5.1.|- centrale automate (telefonice și telegrafice), analogice de oficiu;|12-18
2.1.22.5.2.|- centrale automate (telefonice și telegrafice) analogice pentru instituții.|8-12
2.1.22.5.3.|- echipamente digitale de telecomunicații și instalații aferente (electroalimentare, climatizare).|5-9
2.1.22.6.|Mașini, aparate și instalații pentru radio, televiziune și telecomunicații prin sateliți, telefonie mobilă, în afară de:|5-9
2.1.22.6.1.|- stații de emisie, emițătoare, translatoare și excitatoare,  radiorelee; - antene;|9-15
2.1.22.6.2.|- stații radio, radiotelefoane mobile, rame de radiorelee mobile; - receptoare profesionale de trafic de bandă largă; - echipamente pentru telecomunicații prin sateliți;|8-12
2.1.22.6.3.|- transformatoare de fider pentru monitoare de control video și audio; - monitoare de control video și audio;|4-8
2.1.22.6.4.|- receptoare telefonie mobilă.|2-4
2.1.22.7.|Echipamente, utilaje și aparate pentru studiouri de radio și  televiziune, în afară de:|4-8
2.1.22.7.1.|- echipamente auxiliare pentru controlul și monitorizarea semnalelor.|9-15
2.1.22.8.|Unelte, dispozitive și instrumente pentru transporturi și telecomunicații.|3-5
2.1.22.9.|Alte mașini, utilaje și instalații neregăsite în cadrul clasei 2.1.22.|8-12
2.1.23.|Mașini, utilaje și instalații pentru circulația mărfurilor|
2.1.23.1.|Mașini pentru pregătirea alimentelor.|5-9
2.1.23.2.|Mașini de spălat vesela și tacâmuri. Dulapuri pentru uscat și încălzit vesela și tacâmuri. Mașini, utilaje și instalații pentru conservarea și desfacerea preparatelor alimentare și a băuturilor. Linii de autoservire pentru alimentația publică.|8-12
2.1.23.3.|Mașini și utilaje pentru prepararea mâncărurilor, în afară de:|6-10
2.1.23.3.1.|- marmite.|5-9
2.1.23.4.|Automate și semiautomate comerciale. Jocuri de noroc mecanice, electrice, electronice, mese de biliard, etc.|5-9
2.1.23.5.|Unelte, dispozitive, instrumente pentru circulația mărfurilor, conteinere și transconteinere.|4-8
2.1.23.6|Alte mașini, utilaje și instalații neregăsite în cadrul clasei 2.1.23.|5-9
2.1.24.|Mașini, utilaje și instalații pentru gospodăria comunală și spălătorii.|
2.1.24.1.|Mașini pentru spălătorii și curățătorii chimice.|6-10
2.1.24.2.|Mașini, utilaje și instalații de salubritate și îngrijirea spațiilor verzi.|6-10
2.1.24.3.|Mașini, echipamente și instalații pentru stins incendii, în afară de:|8-12
2.1.24.3.1.|- centrale de avertizare și semnalizare.|12-18
2.1.24.4.|Utilaje și instalații pentru alimentarea cu apă, pentru tratarea apelor de alimentare și epurarea apelor uzate, în afară de:|19-29
2.1.24.4.1.|- aparate de clorinare.|5-9
2.1.24.4.2.|- poduri racloare.|24-36
2.1.24.5.|Mașini, utilaje și instalații pentru tratarea deșeurilor menajere.|8-12
2.1.24.6.|Recipiente pentru depozitarea deșeurilor menajere, în afară de:|6-10
2.1.24.6.1.|- rampe ecologice.|4-6
2.1.24.7.|Alte mașini, utilaje și instalații neregăsite în cadrul clasei 2.1.24.|12-18
2.1.25.|Mașini, utilaje și instalații pentru ocrotirea sănătății.|
2.1.25.1.|Aparate și instrumente pentru oftalmologie, pentru oto-rino-  laringologie. Aparate și instrumente pentru stomatologie. Aparate și instalații pentru fizioterapie. Aparate și instalații de laborator pentru analize medicale. Utilaje, instalații și aparate pentru ocrotire sănătății (sterilizare, dezinfecții, dezinsecții)|8-12
2.1.25.2.|Aparate și instrumente pentru diagnostic, pentru chirurgie, pentru narcoză și reanimare, în afară de:|8-12
2.1.25.2.1.|- aparate de înaltă tehnologie; - aparate pentru măsurarea presiunii arteriale.|4-8
2.1.25.3.|Aparate, instrumente, utilaje și instalații pentru radiologie.|9-15
2.1.25.4.|Alte mașini, utilaje și instalații neregăsite în cadrul clasei 2.1.25.|8-12
2.1.26.|Alte mașini, utilaje și instalații.|
2.1.26.1.|Mașini, aparate și instalații pentru producerea de filme și proiecție cinematografică, în afară de:|8-12
2.1.26.1.1|- lămpi fulger electronice, proiectoare și cutii de distribuție.|4-8
2.1.26.2.|Mașini, utilaje și instalații fotografice; utilaje pentru scene de teatru, cluburi și cinematografe, în afară de:|9-15
2.1.26.2.1.|- cortine, scene;|12-18
2.1.26.2.2.|- scene metalice demontabile.|6-10
2.1.26.3.|Instrumente muzicale și automate muzicale, în afară de:|8-12
2.1.26.3.1.|- orgă clasică cu comandă electrică.|40-60
2.1.26.4.|Mașini, utilaje și instalații pentru producerea de discuri fonografice.|6-10
2.1.26.5.|Mașini și utilaje pentru hidrometrie. Mașini și echipamente pentru saloane de frizerie, coafură și cosmetică, în afară de:|9-15
2.1.26.5.1|- unelte și instrumente de frizerie, cosmetică și coafură.|4-8
2.1.27.|Accesorii de producție.|4-8
2.1.28.|Alte echipamente tehnologice (mașini, utilaje și instalații de lucru) neregăsite în cadrul subgrupei 2.1.|8-12
2.2. APARATE ȘI INSTALAȚII DE MĂSURARE, CONTROL ȘI REGLARE.|2.2. APARATE ȘI INSTALAȚII DE MĂSURARE, CONTROL ȘI REGLARE.|2.2. APARATE ȘI INSTALAȚII DE MĂSURARE, CONTROL ȘI REGLARE.
2.2.1.|Aparate și instalații pentru măsurarea mărimilor geometrice, mecanice și acustice.|
2.2.1.1.|Aparate, instrumente și instalații pentru măsurarea mărimilor geometrice. Aparate și instalații pentru măsurarea mărimilor mecanice și acustice, în afară de:|8-12
2.2.1.1.1.|- bascule romane pod pentru autovehicule și vagoane.|12-18
2.2.1.1.2.|- aparate de cântărit și marcat.|4-6
2.2.1.1.3.|- dozatoare, debitmetre, contoare pentru lichide și gaze.|4-8
2.2.1.2.|Alte aparate și instalații pentru măsurarea mărimilor geometrice, mecanice și acustice neregăsite în cadrul clasei 2.2.1.|8-12
2.2.2.|Aparate și instalații pentru măsurarea timpului, frecvenței și mărimilor cinematice.|
2.2.2.1.|Aparate și instalații etalon mecanice și electromecanice pentru măsurarea timpului; cronografe și calculografe; ceasornice de semnalizare; instalații pentru verificarea cronometrelor; etaloane de frecvență.|9-15
2.2.2.2.|Punți de măsurat, comparatoare și analizoare de frecvență; instalații pentru verificarea frecvențmetrelor și aparate de măsurat deviația de frecvență, în afară de:|8-12
2.2.2.2.1.|- aparate portabile.|4-6
2.2.2.3.|Alte aparate și instalații pentru măsurarea timpului, frecvenței și mărimilor cinematice neregăsite în cadrul clasei 2.2.2.|8-12
2.2.3.|Aparate și instalații pentru măsurarea mărimilor electrice, electromagnetice și radiometrice.|
2.2.3.1.|Elemente Waston; aparate portabile.|4-6
2.2.3.2.|Alte aparate și instalații pentru măsurarea mărimilor electrice, electromagnetice și radiometrice neregăsite în cadrul clasei 2.2.3.|8-12
2.2.4.|Aparate și instalații pentru măsurarea mărimilor termice și fotometrice.|
2.2.4.1.|Termometre de sticlă și de cuarț; bimetalice și manometrice; termometre cu rezistență și termocupluri. Lămpi etalon de temperatură, de culoare și luxmetre.|4-6
2.2.4.2.|Contoare pentru apă caldă și energie termică.|4-8
2.2.4.3.|Alte aparate și instalații pentru măsurarea mărimilor termice și fotometrice neregăsite în cadrul clasei 2.2.4.|8-12
2.2.5.|Aparate și instalații pentru măsurarea mărimilor analitice (de materiale, de structură și de compoziție); aparate și instalații pentru încercarea materialelor, elementelor și a produselor.|
2.2.5.1.|Prese hidraulice, platforme seismice pentru încercări, echipamente pentru încercări electrice de mare putere și înaltă tensiune.|24-36
2.2.5.2.|Alte aparate și instalații pentru măsurarea mărimilor analitice (de materiale, de structură și de compoziție); aparate și instalații pentru încercarea materialelor, elementelor și a produselor neregăsite în cadrul clasei 2.2.5.|8-12
2.2.6.|Utilaje și accesorii de laborator|
2.2.6.1.|Utilaje și accesorii de laborator executate din sticlă.|4-6
2.2.6.2.|Alte utilaje și accesorii de laborator neregăsite în cadrul clasei 2.2.6.|8-12
2.2.7.|Aparate și instalații pentru cercetare științifică.|4-6
2.2.8.|Instalații pentru comanda și reglarea automată a proceselor tehnologice, pentru semnalizare și telemăsurare.|8-12
2.2.9.|Calculatoare electronice și echipamente periferice. Mașini și aparate de casă, control și facturat.|2-4
2.2.10.|Alte aparate și instalații de măsurare, control și reglare neregăsite în cadrul subgrupei 2.2.|8-12
2.3. MIJLOACE DE TRANSPORT|2.3. MIJLOACE DE TRANSPORT|2.3. MIJLOACE DE TRANSPORT
2.3.1.|Mijloace de transport feroviare.|
2.3.1.1.|Locomotive, locotractoare și automotoare de ecartament normal. Vagoane de marfa și de călători, de ecartament normal. Locomotive, locotractoare și automotoare de ecartament îngust sau larg. Vagoane de marfa și de călători, de ecartament îngust.|12-18
2.3.1.2.|Locomotive și locotractoare pentru transport minier. Vagonete de ecartament îngust, pentru transport minier subteran.|6-10
2.3.1.3.|Patruciclete și triciclete pe linie și vagonete de ecartament normal sau îngust.|12-18
2.3.1.4.|Alte mijloace de transport feroviar neregăsite în cadrul clasei 2.3.1.|9-15
2.3.2.|Mijloace de transport auto|
2.3.2.1.|Mijloace de transport pentru persoane.|
2.3.2.1.1.|- autoturisme, în afară de:|4-6
2.3.2.1.1.1.|- taxiuri;|3-5
2.3.2.1.2.|- microbuze;|4-8
2.3.2.1.3.|- autobuze, în afară de:|5-9
2.3.2.1.3.1.|- autobuze pentru transportul urban;|4-8
2.3.2.1.4.|- motociclete și biciclete.|3-5
2.3.2.2.|Mijloace de transport auto, pentru mărfuri.|
2.3.2.2.1.|- autocamioane și autocamionete cu platformă fixă, autofurgonete, autofurgoane și autodube de capacitate până la 4,5t exclusiv.|4-6
2.3.2.2.2.|- autocamioane, autodube și autofurgoane cu platformă fixă, cu capacitatea de și peste 4,5 t;|4-8
2.3.2.2.3.|- autocamioane cu platformă basculantă și dumpere; - autocisterne; - autoizoterme și autofrigorifere.|4-6
2.3.2.2.4.|- autotractoare și autotractoare cu șa.|4-8
2.3.2.2.5.|- tractoare pe roți și pe șenile.|4-6
2.3.2.2.6.|- remorci cu platformă fixă sau basculantă și remorci monoaxe. - remorci: cisterne, izoterme și frigorifice. - semiremorci auto: platformă, furgon, cisterne, izoterme și frigorifice; port transcontainere. - remorci și semiremorci auto cu destinație specifică.|4-6
2.3.2.2.7.|- remorci cu platformă coborâtă pentru sarcini grele (trailere).|5-9
2.3.2.2.8.|- motociclete și triciclete pentru transportul de mărfuri.|3-5
2.3.2.2.9.|- autovehicule cu destinație specială:|
2.3.2.2.9.1.|- autoturnuri, autotelescoape, autoateliere și autodepanatoare,|4-8
2.3.2.2.9.2.|- autovehicule pentru transportul materialelor pulverulente; - autovehicule cu troliu pentru bușteni.|4-6
2.3.2.2.9.3.|- alte autovehicule cu destinație specială|5-9
2.3.2.3.|Alte mijloace de transport auto neregăsite în cadrul clasei 2.3.2.|4-8
2.3.3.|Mijloace de transport naval|
2.3.3.1.|Nave maritime de călători, de cursă lungă și costiere. Nave maritime mixte de călători și mărfuri. Nave maritime pentru mărfuri de masă în vrac (mineraliere) și pentru produse petroliere (petroliere). Remorchere maritime de linie pentru transport. Nave maritime tehnice și speciale. Remorchere maritime portuare. Nave maritime depozit; tancuri: de buncheraj, de apă potabile și mixte. Iahturi maritime. Nave fluviale pentru transport de călători. Nave fluviale cu propulsie, pentru transport de mărfuri diferite. Bacuri, mahoane și barcaze fluviale pentru mărfuri uscate; ceamuri fluviale cu corp metalic, fără propulsie, pentru stuf. Bacuri, mahoane și viviere fluviale pentru producție și transportat pește. Pontoane de leasă, cu două flotoare metalice și platformă din lemn. Nave fluviale de trecere (bacuri de trecere fluviale, cu sau fără propulsie, pentru vehicule și călători; poduri plutitoare fluviale, pe cablu). Nave fluviale tehnice și speciale; auxiliare și de servitute. Nave fluviale, iahturi și șalupe de agrement.|16-24
2.3.3.2.|Mahoane maritime, în afară de:|16-24
2.3.3.2.1.|- din lemn.|9-15
2.3.3.3.|Nave maritime de pescuit, în afară de:|16-24
2.3.3.3.1.|- pescadoare cu corp din lemn.|9-15
2.3.3.3.2.|- pescadoare cu corp metalic. - cutere cu corp din lemn, pentru producție și transportat pește.|14-22
2.3.3.4.|Doc plutitor.|16-24
2.3.3.5.|Șalupe maritime pentru călători. Șalupe maritime. Nave fluviale fără propulsie pentru transport de mărfuri diferite (șlepuri, ceamuri, platine, barje, tancuri). Remorchere și împingătoare fluviale cu elice.|14-22
2.3.3.6.|Pilotine maritime.|12-18
2.3.3.7.|Ambarcații maritime auxiliare, bărci maritime și ambarcații maritime sportive și de agrement:|
2.3.3.7.1.|- cu corp din lemn.|9-15
2.3.3.7.2.|- cu corp din metal.|14-22
2.3.3.8.|Ambarcații fluviale de agrement (bărci de agrement, canoe de agrement, giguri, sandoline și hidrobiciclete). Ambarcații fluviale și de pescuit (mahoane de taliene, bărci viviere, bărci de furajat, pramuri și năvodnice).|8-14
2.3.3.9.|Ambarcații fluviale auxiliare de deservire generală și sportive, în afară de:|8-14
2.3.3.9.1.|- cu corp metalic.|12-18
2.3.3.10.|Bărci pescărești.|6-10
2.3.3.11.|Alte mijloace de transport naval neregăsite în cadrul clasei 2.3.3.|12-18
2.3.4.|Mijloce de transport aerian.|
2.3.4.1.|Avioane pentru transport de călători, mărfuri și mixte.|14-22
2.3.4.2.|Avioane pentru destinație specială: împrăștierea îngrășămintelor chimice, insectofungicidelor la lucrări agrosilvice, sanitare.|4-8
2.3.4.3.|Elicoptere pentru transport de călători, mărfuri sau destinație specială (împrăștierea îngrășămintelor, montaj, etc).|4-8
2.3.4.4.|Alte mijloace de transport aerian neregăsite în cadrul clasei 2.3.4.|8-12
2.3.5.|Mijloace specifice pentru transportul urban de călători.|
2.3.5.1.|Mijloace de transport electric urban pe șine.|11-17
2.3.5.2.|Mijloace de transport electric urban, pe pneuri (troleibuze).|6-10
2.3.5.3.|Alte mijloace specifice pentru transportul urban de călători neregăsite în cadrul clasei 2.3.5.|8-12
2.3.6.|Utilaje și instalații de transportat și ridicat|
2.3.6.1.|Mecanisme de ridicat (vinciuri, trolii etc). Macarale diverse și speciale, în afară de:|6-10
2.3.6.1.1.|- macarale plutitoare.|16-24
2.3.6.1.2.|- macarale feroviare și macarale transcontainer.|12-18
2.3.6.2.|Macarale rotitoare; macarale rulante cu platformă și poduri rulante, în afară de:|9-15
2.3.6.2.1.|- macarale rotitoare staționare, fixe, cu coloană, macarale turn cu acționare electrică.|8-12
2.3.6.2.2.|- macarale mobile pe pneuri și șenile, automacarale.|6-10
2.3.6.3.|Ascensoare:|
2.3.6.3.1.|- de materiale și persoane pentru lucrări de construcții; de mărfuri.|5-9
2.3.6.3.2.|- de persoane pentru clădiri.|8-12
2.3.6.3.3.|- de materiale și persoane pentru lucrări miniere|12-18
2.3.6.4.|Transportoare și instalații de transport pneumatic, în afară de:|8-12
2.3.6.4.1.|- transportoare cu bandă și plăci; cu lanț (cablu), cu ghiare, cu role, suspendate și cu lanțuri de tracțiune, portante; transportare cu cupe și sisteme de transportoare utilizate în industrie pentru operații de prelucrare, asamblare și montaj.|7-11
2.3.6.4.2.|- transportoare cu bandă mobile.|5-9
2.3.6.4.3.|- transportoare elicoidale și cu raclete.|3-5
2.3.6.4.4.|- jgheaburi și topogane; instalații de transport hidraulic.|8-14
2.3.6.5.|Elevatoare, escalatoare și alimentatoare.|8-12
2.3.6.6.|Încărcătoare, împingătoare și basculatoare, în afară de:|6-10
2.3.6.6.1.|- încărcătoare frontale cu o cupă.|4-8
2.3.6.7.|Plăci turnante pentru întoarcerea locomotivelor.|16-24
2.3.6.8.|Alte utilaje, instalații și echipamente de transportat și de ridicat, neregăsite în cadrul clasei 2.3.6., în afară de:|8-12
2.3.6.8.1.|- electro și motostivuitoare.|4-8
2.3.7.|Mijloace de transport cu tracțiune animală.|4-6
2.4. ANIMALE ȘI PLANTAȚII.|2.4. ANIMALE ȘI PLANTAȚII.|2.4. ANIMALE ȘI PLANTAȚII.
2.4.1.|Animale.|
2.4.1.1.|Cai de reproducere și de muncă. Măgari și catâri.|8-12
2.4.1.2.|Boi și bivoli de muncă; vaci de lapte și tauri pentru reproducere.|5-9
2.4.1.3.|Oi, capre și porci pentru reproducere.|4-6
